Id	coreNACE2	Label	city	Country	legalForm	turnover	employees	assets	pl
CN2-95741		CONVERSE (ASIA PACIFIC) LTD		CN	C				
CN2-95743		CONVERSE HONG KONG HOLDING COMPANY LTD		CN	C				
CN2-95744		CONVERSE HONG KONG LTD		CN	C				
US2-42599		CONVERSE INC		US	C				
US161561877L	46	EXETER BRANDS GROUP LLC	NEW YORK	US	C				
US2-42600		HURLEY INTERNATIONAL LLC		US	C				
USAK-131471		HURLEY INTERNATIONAL LLC	COSTA MESA	US	C				
IT2-95774		JUVENTUS MERCHANDISING SRL		IT	C				
BR2-95735		LATAM SERVICOS DE LICENCIAMENTO ESPORTIVO LTDA		BR	C				
GB2-95842		NIKE CORTEZ		GB	C				
CR3102661863		NIKE COSTA RICA SOCIEDAD DE RESPONSABILIDAD LIMITADA		CR	C				
MXNME810515FI9		NIKE DE MEXICO SA DE CV	AZCAPOTZALCO	MX	C	0.25	175.0		
GB2-95843		NIKE FINANCE LTD		GB	F				
GB2-95844		NIKE FLIGHT		GB	C				
GB2-95845		NIKE FORCE		GB	C				
CN2-95748		NIKE HONG KONG LTD		CN	C				
GB2-95846		NIKE HUARACHE		GB	C				
US268651028L	22	NIKE IHM INC	HOUSTON	US	C				
GB2-95848		NIKE JUMP LTD		GB	C				
GB2-95849		NIKE LAVADOME		GB	C				
US2-95872		NIKE MAX LLC		US	C				
GB2-95855		NIKE PEGASUS		GB	C				
SI3868613	46	NIKE TRGOVINA NA DEBELO D.O.O.	LJUBLJANA	SI	C	1.73	6.0	0.47	0.0
GB2-95859		NIKE WAFFLE		GB	C				
HK2-95766		UMBRO HONG KONG LTD		HK	C				
US2-95886		UMBRO INTERNATIONAL JV		US	C				
GB2-95862		UMBRO SPORTWEAR LTD		GB	C				
GB2-95864		UMBROCOM		GB	C				
IN0000399209	15	NIKE INDIA PRIVATE LIMITED	BANGALORE	IN	C	127.2		100.27	-16.0
US129156096L	47	NIKE VISION TIMING & TECHLAB LP	HILLSBORO	US	C				
NL32124648	64	NIKE INTERNATIONAL HOLDING B.V.	HILVERSUM	NL	F		1.0	53.54	
GB01887016	46	NIKE (UK) LIMITED	SUNDERLAND	GB	C	95.48	264.0	114.34	18.0
GB04077874	82	NORTH WEST MERCHANDISING LIMITED	SUNDERLAND	GB	C			4.31	
NL32128692	70	NIKE UK HOLDING B.V.	HILVERSUM	NL	C		1.0	0.21	
GB06403083	46	NIKE VAPOR LTD.	SUNDERLAND	GB	C			0.18	0.0
GB00198168	46	NIKE MERCURIAL I LIMITED	SUNDERLAND	GB	C			0.69	-1.0
NL32125793	64	TWIN DRAGONS HOLDING B.V.	HILVERSUM	NL	F		1.0	0.04	
NL32143512	64	CONVERSE CANADA HOLDING B.V.	HILVERSUM	NL	F			0.01	
GB07133557	46	CONVERSE EUROPE LIMITED	LONDON	GB	C	21.46	46.0	14.91	2.0
US124188330L	15	HURLEY INTERNATIONAL LLC	COSTA MESA	US	C				
CA149198231L	15	NIKE CANADA LTD	THORNHILL	CA	C				
MXNME920220KL4	46	NIKE DE MEXICO S DE RL DE CV	GUADALAJARA	MX	C		300.0		
US124143000L	15	NIKE FACTORY STORE	FOLSOM	US	C				
US165671946L	15	NIKE FACTORE STORE	ORANGE	US	C				
US133158861L	15	NIKE FACTORE STORE	LOVELAND	US	C				
US131112346L	15	NIKE FACTORY	KISSIMMEE	US	C				
US132601654L	15	NIKE FACTORY	NORTH BEND	US	C				
US132301597L	15	NIKE FACTORY OUTLET	QUIL CEDA VILLAGE	US	C				
US133310452L	15	NIKE FACTORY OUTLET STORE	TEMPE	US	C				
US131112347L	15	NIKE FACTORY ST	SAINT AUGUSTINE	US	C				
US123965903L	15	NIKE FACTORY STORE	LAKE ELSINORE	US	C				
US149428509L	15	NIKE FACTORY STORE PRIME OUTLE	ORLANDO	US	C				
US181730442L	15	NIKE FS ALBERTVILLE	ALBERTVILLE	US	C				
US131195321L	15	NIKE FS CELEBRATION	KISSIMMEE	US	C				
US179357598L	15	NIKE FS CHICAGO	AURORA	US	C				
US192769944L	15	NIKE FS EDINBURGH	EDINBURGH	US	C				
US197234115L	15	NIKE FS ELLENTON	ELLENTON	US	C				
US127478468L	15	NIKE FS FINGER LAKES	WATERLOO	US	C				
US181628826L	15	NIKE FS FL CITY	HOMESTEAD	US	C				
US163791753L	15	NIKE FS FRANKLIN MILLS	PHILADELPHIA	US	C				
US184068711L	15	NIKE FS JACKSON	JACKSON	US	C				
US126759813L	15	NIKE FS JERSEY GARDENS	ELIZABETH	US	C				
US173966808L	15	NIKE FS JERSEY SHORES	TINTON FALLS	US	C				
US179128404L	15	NIKE FS JOHNSON CREEK	JOHNSON CREEK	US	C				
US125724575L	15	NIKE FS KENSINGTON VALLEY	HOWELL	US	C				
US149423349L	15	NIKE FS KISSIMME	KISSIMMEE	US	C				
US181391652L	15	NIKE FS KS CITY	EDWARDSVILLE	US	C				
US131094181L	15	NIKE FS LAKE BUENA VISTA	ORLANDO	US	C				
US169445088L	15	NIKE FS LIBERTY VILLAGE	FLEMINGTON	US	C				
US179612274L	15	NIKE FS MEDFORD	MEDFORD	US	C				
US128059037L	15	NIKE FS MILLSTREAM	LANCASTER	US	C				
US164286564L	15	NIKE FS NIAGARA FALLS NY	NIAGARA FALLS	US	C				
US149435562L	15	NIKE FS PHILADELPHIA	POTTSTOWN	US	C				
US165491853L	15	NIKE FS PITTSBURGH	WASHINGTON	US	C				
US132525167L	15	NIKE FS POTOMAC	WOODBRIDGE	US	C				
US183698061L	15	NIKE FS QUEENSTOWN	QUEENSTOWN	US	C				
US192675861L	15	NIKE FS REHOBOTH	REHOBOTH BEACH	US	C				
US131812319L	15	NIKE FS SHREVEPORT	BOSSIER CITY	US	C				
US186340308L	15	NIKE FS SOUTH CHICAGO	CHICAGO	US	C				
US188849916L	15	NIKE FS ST AUGUSTN	SAINT AUGUSTINE	US	C				
US184314639L	15	NIKE FS TUSCOLA	TUSCOLA	US	C				
US133284839L	15	NIKE FS VINELAND	ORLANDO	US	C				
US131025229L	15	NIKE FS VINELAND	ORLANDO	US	C				
US127063711L	15	NIKE FS WOODBURY	CENTRAL VALLEY	US	C				
US143295615L	15	NIKE STORE	DANVILLE	US	C				
US259036688L	15	THE NIKE FACTORY STORE	SAINT LOUIS	US	C				
US125603753L	15	NIKE IHM	SAINT CHARLES	US	C				
US128229956L	15	NIKE INC	BEAVERTON	US	C				
US165417429L	15	JUST NIKE INC	SOUTH SAN FRANCISCO	US	C				
CA132706169L	15	NIKE CANADA DISTRUBUTION	SCARBOROUGH	CA	C				
US127661291L	15	NIKE COMMUNICATIONS INC	NEW YORK	US	C				
US128411392L	15	NIKE FLIGHT OPERATIONS	HILLSBORO	US	C				
US147601419L	15	NIKE GOLF LEARNING CENTER	GRAND PRAIRIE	US	C				
US123715724L	15	NIKE GOLF SALES WEST	OXNARD	US	C				
US127661293L	15	NIKE GROUP	NEW YORK	US	C				
US194756727L	15	NIKE INTERNATIONAL INC	HOUSTON	US	C				
US289936664L	15	NIKE INTERNATIONAL LTD	BEAVERTON	US	C				
US149989993L	15	NIKE ORLANDO SERVICE CENTER	ORLANDO	US	C				
US170306472L	15	NIKE OUTLET	PORTLAND	US	C				
US142444259L	15	NIKE SHOP	MIAMI	US	C				
US147509537L	15	NIKE SOUTHWEST	DALLAS	US	C				
US192673026L	15	NIKE STORE	PORTLAND	US	C				
US241247102L	15	NIKE STORE PORTLAND	PORTLAND	US	C				
US133142579L	15	NIKE TEAM SPORTS INC	FOOTHILL RANCH	US	C				
US161495229L	15	NIKE TOWN NEW YORK	NEW YORK	US	C				
US129250211L	15	NIKE USA	MEMPHIS	US	C				
US149207942L	15	NIKE USA INC	BEAVERTON	US	C				
US124168717L	15	NIKE WOMENS MARATHON	SAN FRANCISCO	US	C				
US150051453L	15	NIKE WOMENS MARATHON	SAN FRANCISCO	US	C				
US126473397L	15	NIKE WRENTHAM FACTORY STORE	WRENTHAM	US	C				
US124061330L	15	NIKETOWN	SAN FRANCISCO	US	C				
US129816303L	15	NIKETOWN CHICAGO	CHICAGO	US	C				
US128312504L	15	NIKEX EQUIPMENT CO	PORTLAND	US	C				
US267391898L	15	NIKEX EQUIPMENT CO INC	PORTLAND	US	C				
US149146413L	15	NIKE RETAIL SERVICES INC	BEAVERTON	US	C				
US147687810L	15	NIKE RETAIL SERVICES	LEBANON	US	C				
US203636184L	15	NIKE RETAIL SERVICES	PALO ALTO	US	C				
US231998858L	15	NIKE RETAIL SERVICES INC GAT	ORLANDO	US	C				
US242334122L	15	NIKE RETAIL SERVICES INC GAT	ORLANDO	US	C				
US128299718L	15	SAVIER INC	BEAVERTON	US	C				
US160987929L	15	SAVIER	PORTLAND	US	C				
CA149102944L	15	SP APPAREL INC	GRANBY	CA	C				
IT12788071004	47	A.S. ROMA MERCHANDISING S.R.L.	ROMA	IT	C	2.25	2.0	1.68	0.0
BM26246R	46	AIR MAX LIMITED	HAMILTON	BM	C				
NL32168356	74	ALL STAR C.V.	OREGON	NL	C				
ESB59088054	46	AMERICAN NIKE SL	EL PRAT DE LLOBREGAT	ES	C	52.95	241.0	20.38	6.0
TW23928993	46	BRS NIKE TAIWAN INC.	SONGSHAN DIST., TAIPEI CITY	TW	C				
HK0000201849	46	CONVERSE (ASIA PACIFIC) LIMITED	TSIM SHA TSUI	HK	C		2.0		
CALEI349625		CONVERSE CANADA CORP.	HALIFAX	CA	C				
BR23541259000145	46	CONVERSE DO BRASIL LTDA	SAO PAULO	BR	C	0.92	36.0		
CN2-95742		CONVERSE FOOTWEAR TECHNICAL SERVICE (ZHONGSHAN) CO LTD		CN	C				
FR811794940	46	CONVERSE FRANCE S A S	ST-OUEN-L'AUMONE	FR	C				
US2-95865		CONVERSE HOLDINGS LLC	DELAWARE	US	C				
HK0000201868		CONVERSE HONG KONG HOLDING COMPANY LIMITED		HK	C		135.0		
HK0000201873		CONVERSE HONG KONG LIMITED		HK	C		140.0		
KR*110154112735		CONVERSE KOREA LLC		KR	C				
IT13808291002	46	CONVERSE RETAIL ITALY S.R.L.	ROMA	IT	C				
CN2-95745		CONVERSE SPORTING GOODS (CHINA) CO LTD		CN	C				
IT08612120967	77	F.C. INTERNAZIONALE MERCHANDISING S.R.L.	MILANO	IT	C	2.83	2.0	2.8	0.0
FR2-95758		FRENCH FOOTBALL MERCHANDISING SAS		FR	C				
ESB63209084	46	HURLEY 999 SL	EL PRAT DE LLOBREGAT	ES	C	8.82	14.0	10.02	-1.0
NL2-95788		HURLEY PHANTOM CV		NL	C				
BR15502863000134	47	LATAM COMERCIO DE PRODUTOS ESPORTIVOS LTDA.	SAO PAULO	BR	C	0.46	16.0		
CHCHE106089157	46	NIKE (SWITZERLAND) GMBH	RÜMLANG	CH	C		75.0		
TH0105540077511	47	NIKE (THAILAND) LIMITED	SATHORN, BANGKOK	TH	C	77.25		43.1	12.0
JO*110154112744		NIKE 360 JORDAN WITH LIMITED LIABILITY		JO	C				
US*110154112746		NIKE AIR MAX LLC	DELAWARE	US	C				
US*110154112747		NIKE AMPLIFY LLC	DELAWARE	US	C				
AR30-67815546-9	46	NIKE ARGENTINA SRL	OLIVOS	AR	C		375.0		
NL32132605	70	NIKE ASIA HOLDING B.V.	HILVERSUM	NL	C		1.0	104.55	
US2-95867		NIKE CA LLC		US	C				
CALEI48579		NIKE CANADA CORP.	HALIFAX	CA	C				
NL32124649	64	NIKE CANADA HOLDING B.V.	HILVERSUM	NL	F		1.0	49.44	
HK0000201887		NIKE CHINA HOLDING HK LIMITED		HK	C				
CN9390465226	46	NIKE COMMERCIAL (CHINA) CO., LTD.	SHANGHAI	CN	C	1011.7	5600.0	328.66	32.0
CN9363203275	46	NIKE SPORTS (CHINA) CO., LTD.	SUZHOU	CN	C	2858.66	1000.0	1837.78	457.0
NL60679263	64	NIKE CODRUS COÖPERATIEF U.A.	HILVERSUM	NL	C			90.81	
NL56033567	64	NIKE GLOBAL TRADING B.V.	HILVERSUM	NL	C			14.29	
BM40096R	64	NIKE CORTEZ	HAMILTON	BM	C				
HR89078216952	46	NIKE CR D.O.O.	BUZIN	HR	C	3.87	26.0	1.26	0.0
CZ24845736	46	NIKE CZECH, S.R.O.	PRAHA 11	CZ	C	10.52	75.0	4.48	0.0
CL966756705		NIKE DE CHILE LIMITADA	SANTIAGO	CL	C	37.46	250.0		
DK12530633	46	NIKE DENMARK APS	KOKKEDAL	DK	C		31.0	9.56	1.0
DE6070490738	46	NIKE DEUTSCHLAND GMBH	FRANKFURT	DE	C	89.26	322.0	45.21	13.0
BR59546515000134	46	NIKE DO BRASIL COMERCIO E PARTICIPACOES LTDA	SAO PAULO	BR	C	6.14	1001.0		
BR10548697000193	77	NIKE LICENCIAMENTOS LTDA.	SAO PAULO	BR	C	1.69	36.0		
NL60578874	64	NIKE ELEVATE C.V.	BEAVERTON OREGON	NL	C				
BM27555R	64	NIKE FINANCE LTD	HILVERSUM	BM	F				
FI08355519	46	NIKE FINLAND OY	VANTAA	FI	F	2.62		4.54	0.0
BM41148R	64	NIKE FLIGHT	HAMILTON HM	BM	C				
FR320367139	46	NIKE FRANCE	ST-OUEN-L'AUMONE	FR	C	93.42	274.0	36.97	11.0
NLLEI255549		NIKE FUNDAMENTALS C.V.	HILVERSUM	NL	E				
AT9110176544	46	NIKE GESELLSCHAFT M.B.H.	WIEN	AT	C		23.0	159.52	
MY198708-M	46	NIKE SALES (MALAYSIA) SDN BHD	WILAYAH PERSEKUTUAN	MY	C	77.88		19.58	17.0
SE5565370649	46	NIKE SWEDEN AB	SOLNA	SE	C	12.5	57.0	8.32	2.0
NL51909723	64	NIKE GLIDE C.V.	HILVERSUM	NL	C				
NL32124656	64	NIKE GLOBAL HOLDING B.V.	HILVERSUM	NL	F		1.0	5.13	
SG200908738H	74	NIKE GLOBAL SERVICES PTE. LTD.	SINGAPORE	SG	C				
SGLEI50787		NIKE GLOBAL TRADING PTE. LTD.	SINGAPORE	SG	C				
GR2-95761		NIKE HELLAS EPE		GR	C				
USLEI31852		NIKE HOLDING, LLC	DOVER	US	C				
HK0000201771	46	NIKE HONG KONG LIMITED	KWUN TONG	HK	C		40.0		
BM40097R	64	NIKE HUARACHE	WIEN	BM	C				
US2-95869		NIKE IGNITE LLC		US	C				
NL32124652	64	NIKE INDIA HOLDING B.V.	HILVERSUM	NL	F		1.0	153.27	
NL60166878	77	NIKE INNOVATE C.V.	OREGON	NL	C				
US2-95870		NIKE INTERNATIONAL HOLDING INC		US	C				
US2-95871		NIKE INTERNATIONAL LLC		US	C				
GB2-95847		NIKE INTERNATIONAL LTD		GB	C				
BM8283R	46	NIKE INTERNATIONAL LTD		BM	C		20.0		
IL53-281-3011	46	NIKE ISRAEL LTD	HERZLIYA	IL	C		52.0		
IL60-004-8476	47	NIKE RETAIL ISRAEL LTD	HERZLIYA	IL	C				
IT08424900150	46	NIKE ITALY S.R.L.	ROMA	IT	C	65.94	187.0	30.55	8.0
JP1010703002010		NIKE JAPAN GROUP L.L.C.		JP	C				
JP9010701007169		NIKE JAPAN K.K.		JP	C				
BM41272R	64	NIKE JUMP LTD	HAMILTON	BM	C				
KR1101140096021	46	NIKE KOREA LLC	SEOUL	KR	C				
BM40095R	64	NIKE LAVADOME	HAMILTON	BM	C				
NL60166649	64	NIKE LIGHTNING C.V.	OREGON	NL	C				
JP2-95778		NIKE LOGISTICS YUGEN KAISHA		JP	C				
HU23313688	46	NIKE MAGYARORSZÁG KORLÁTOLT FELELOSSÉGU TÁRSASÁG	BUDAPEST	HU	C				
NL*110154112769		NIKE MAXIM C.V.		NL	C				
US256469351L		NIKE MERCURIAL CORP	CHICAGO	US	C				
HK0000177333	46	NIKE MERCURIAL HONG KONG LIMITED	CHEUNG SHA WAN	HK	C	7.38	50.0		
US2-95874		NIKE MEXICO HOLDINGS LLC	DELAWARE	US	C				
NZ9429039058393	46	NIKE NEW ZEALAND COMPANY	FREEMANS BAY	NZ	C	51.64		10.17	1.0
NL32124654	64	NIKE NZ HOLDING B.V.	HILVERSUM	NL	F		1.0	3.5	
NL32124657	64	NIKE OFFSHORE HOLDING B.V.	HILVERSUM	NL	C		1.0	142.92	
US*110154112776		NIKE OSCILLATE LLC	DELAWARE	US	C				
PA2319LRPP		NIKE PANAMA S.DE R.L.		PA	C				
BM41363R	64	NIKE PEGASUS	HAMILTON	BM	C				
PHA199902790	47	NIKE PHILIPPINES, INC.	TAGUIG CITY	PH	C	108.27		43.72	15.0
PL014845927	46	NIKE POLAND SP. Z O.O.	WARSZAWA	PL	C	15.34		12.62	2.0
GR997953829	47	NIKE RETAIL HELLAS LTD	MOSCHATO	GR	C	22.12	61.0	8.08	1.0
RU2-95820		NIKE RETAIL LLC		RU	C				
PL015532840	46	NIKE RETAIL POLAND SP. Z O.O.	WARSZAWA	PL	C	21.45		9.63	0.0
TR2-95838		NIKE RETAIL TURKEY		TR	C				
NL66363071	64	NIKE REVOLUTION C.V.	OREGON	NL	C				
NL67515789	64	NIKE SWIFT B.V.	HILVERSUM	NL	C				
RU2-95821		NIKE RUSSIA LLC		RU	C				
MXNSM001001PK5	15	NIKE SERVICIOS DE MEXICO	GUADALAJARA	MX	C				
SG199002308G	46	NIKE SINGAPORE PTE LTD	SINGAPORE	SG	C				
SK46188738	46	NIKE SLOVAKIA, S.R.O.	BRATISLAVA - MESTSKA CAST RACA	SK	C	0.35		1.11	0.0
CN2-95749		NIKE SOURCING (GUANGZHOU) CO LTD		CN	C				
IN0000399214	47	NIKE SOURCING INDIA PRIVATE LIMITED	BANGALORE	IN	C	2.65		1.71	0.0
ZA199500010507	46	NIKE SOUTH AFRICA (PTY) LTD	HALFWAY HOUSE	ZA	C		100.0		
US2-95876		NIKE SOUTH AFRICA HOLDINGS LLC		US	C				
NL51429721	64	NIKE SPHERE C.V.	HILVERSUM	NL	C				
BM40098R	64	NIKE TAILWIND	BASSERSDORF	BM	C				
TW53762288	46	NIKE TAIWAN LIMITED	SONGSHAN DIST., TAIPEI CITY	TW	C				
US188493198L	15	NIKE TN INC	MEMPHIS	US	C				
NL51315297	64	NIKE VICTORY COÖPERATIEF U.A.	HILVERSUM	NL	C		1.0	2483.05	
NL32152659	70	NIKE 360 HOLDING B.V.	HILVERSUM	NL	C	80.76	579.0	86.7	5.0
CN9397499964		NAI KE CAI GOU FU WU ( GUANG ZHOU ) YOU XIAN GONG SI	GUANGZHOU	CN	C				
NL32054966	64	NIKE EUROPE HOLDING B.V.	HILVERSUM	NL	F	292.53	3.0	2323.65	-56.0
NL34186851	64	CONVERSE NETHERLANDS B.V.	HILVERSUM	NL	F	643.98	118.0	423.1	120.0
ESB66559899	46	AMERICAN CONVERSE SL.	EL PRAT DE LLOBREGAT	ES	C				
DE2151727670	46	CONVERSE DEUTSCHLAND GMBH	FRANKFURT	DE	C		1.0		
GB10584502	46	CONVERSE RETAIL (UK) LIMITED	LONDON	GB	C				
NL63439182	46	CONVERSE RETAIL B.V.	HILVERSUM	NL	C		3.0		
AT9111059344	82	CONVERSE RETAIL GMBH	WIEN	AT	C		2.0		
NL32135477	64	NIKE CHILE B.V.	HILVERSUM	NL	F		1.0	41.89	
NL32057998	46	NIKE EUROPEAN OPERATIONS NETHERLANDS B.V.	HILVERSUM	NL	C	9370.82	9270.0	5429.93	1285.0
NL66066700	64	NIKE AIR ACE B.V.	HILVERSUM	NL	C				
NL32135478	70	NIKE LASER HOLDING B.V.	HILVERSUM	NL	C			28.32	9.0
GB10586258	32	NIKE CHELSEA MERCHANDISING LIMITED	LONDON	GB	C				
NO996691284	46	NIKE NORWAY AS	LYSAKER	NO	C	6.6	32.0	3.73	1.0
NL32060874	46	NIKE RETAIL B.V.	HILVERSUM	NL	C		114.0		
TR2072369F	47	NIKE RETAIL TK PERAKENDE TICARET LIMITED SIRKETI	SARIYER	TR	C	41.45		29.09	1.0
RU89618454	46	NIKE RERAIL LIMITED LIABILITY COMPANY	MOSCOW	RU	C				
NL32132604	70	NIKE GALAXY HOLDING B.V.	HILVERSUM	NL	C		1.0	56.48	
FR527837967	77	FRENCH FOOTBALL MERCHANDISING	ST-OUEN-L'AUMONE	FR	C	4.38		4.94	0.0
ESB62891205	47	FUTBOL CLUB BARCELONA MERCHANDISING SL	BARCELONA	ES	C	55.43	137.0	19.18	2.0
NL32124653	64	NIKE GROUP HOLDING B.V.	HILVERSUM	NL	F		1.0	11.98	
RU59803846	46	NIKE LIMITED LIABILITY COMPANY	MOSCOW	RU	C				
NL32124650	64	NIKE FUEL B.V.	HILVERSUM	NL	F		1.0	1.3	
VN2-95887		NIKE VIETNAM LTD LIABILITY COMPANY		VN	C				
US129117088L	47	NIKE VISION TIMING TECH LAB	AUSTIN	US	C				
NL51315467	64	NIKE VOMERO COÖPERATIEF U.A.	HILVERSUM	NL	C		1.0	352.68	
NL32139662	64	CONVERSE TRADING COMPANY B.V.	HILVERSUM	NL	F		5.0	3.29	
NL32135791	64	NIKE TRADING COMPANY B.V.	HILVERSUM	NL	F	9923.88	122.0	7720.77	846.0
BM41362R		NIKE WAFFLE	HILVERSUM	BM	C				
SI2-95827		NIKE WHOLESALE LLC		SI	C				
US2-95882		NIKE WOODSIDE I HOLDINGS INC	OREGON	US	C				
US2-95880		NIKE WOODSIDE I LLC	OREGON	US	C				
US2-95883		NIKE WOODSIDE II HOLDINGS INC	OREGON	US	C				
US2-95881		NIKE WOODSIDE II LLC	OREGON	US	C				
US2-95884		NIKE ZOOM LLC		US	C				
ID2-95770		PT HURLEY INDONESIA		ID	C				
IDLEI52731		PT NIKE INDONESIA	JAKARTA	ID	C				
US2-95763		TRIAX INSURANCE INC		US	A				
HK0000201904		TWIN DRAGONS GLOBAL LIMITED		HK	C				
JP2-95779		YUGEN KAISHA HURLEY JAPAN		JP	C				
US255480308L	46	GRABIT INC	SUNNYVALE	US	C	3.0	1.0		
